time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551449232.025524,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.025552,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.026399,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.026425,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.026435,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.026443,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.026451,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.026459,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.026464,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.026477,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.026484,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.026489,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.026494,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.027182,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.027206,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.027215,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.02722,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.027225,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.027232,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.027238,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.027904,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.027929,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.027942,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.027948,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.027955,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.027961,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.027967,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.028494,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.02851,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.028522,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.02853,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.028538,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.028546,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.029017,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.029032,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.029042,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.029047,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.029052,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.029842,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.029856,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.029861,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.029865,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.030837,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.030861,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.030871,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.030875,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.030881,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.030893,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.0309,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.031422,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.031448,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.031456,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.031461,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.031467,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.031474,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.03148,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.032074,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.032089,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.067228,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.067267,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.072902,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.072965,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.073388,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.073414,6,1460,195.169.22.103,192.168.1.149,80,43732
1551449232.167147,6,1460,195.169.22.103,192.168.1.149,80,43732
