time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554731326.576071,6,46,192.168.1.149,183.187.102.28,58130,443
1554731326.599436,6,46,183.187.102.28,192.168.1.149,443,58130
1554731327.434815,6,59,53.200.186.147,192.168.1.149,443,40692
1554731354.468883,6,59,53.200.186.147,192.168.1.149,443,40692
1554731354.468958,6,38,53.200.186.147,192.168.1.149,443,40692
1554731354.46914,6,46,53.200.186.147,192.168.1.149,443,40692
1554731354.469336,6,46,192.168.1.149,53.200.186.147,40692,443
1554731354.501615,6,468,192.168.1.149,53.200.186.147,40692,443
1554731354.774266,6,218,53.200.186.147,192.168.1.149,443,40692
1554731354.774454,6,59,53.200.186.147,192.168.1.149,443,40692
1554731371.072477,17,41,192.168.1.149,192.168.1.1,37475,53
1554731371.072571,17,41,192.168.1.149,192.168.1.1,54592,53
1554731371.076215,17,305,192.168.1.1,192.168.1.149,53,37475
1554731371.076527,17,317,192.168.1.1,192.168.1.149,53,54592
1554731371.077573,6,241,192.168.1.149,89.139.104.173,49276,443
1554731371.078244,6,792,192.168.1.149,89.139.104.173,49276,443
1554731371.128835,6,236,89.139.104.173,192.168.1.149,443,49276
1554731371.129039,6,296,89.139.104.173,192.168.1.149,443,49276
1554731371.12915,6,144,89.139.104.173,192.168.1.149,443,49276
1554731371.129166,6,46,89.139.104.173,192.168.1.149,443,49276
1554731371.1294,6,46,192.168.1.149,89.139.104.173,49276,443
1554731383.653107,6,59,53.200.186.147,192.168.1.149,443,40692
1554731385.576978,6,46,192.168.1.149,183.187.102.28,58130,443
1554731385.600413,6,46,183.187.102.28,192.168.1.149,443,58130
1554731396.259389,17,55,192.168.1.149,192.168.1.1,43899,53
1554731396.259597,17,55,192.168.1.149,192.168.1.1,33317,53
1554731396.261509,17,55,192.168.1.1,192.168.1.149,53,33317
1554731396.261643,17,151,192.168.1.1,192.168.1.149,53,43899
1554731397.477676,6,87,192.168.1.149,204.92.208.233,44066,80
1554731397.680621,6,148,204.92.208.233,192.168.1.149,80,44066
1554731413.347663,6,59,53.200.186.147,192.168.1.149,443,40692
1554731413.347868,6,38,53.200.186.147,192.168.1.149,443,40692
1554731413.347974,6,46,53.200.186.147,192.168.1.149,443,40692
1554731413.348077,6,46,192.168.1.149,53.200.186.147,40692,443
1554731413.351191,17,41,192.168.1.149,192.168.1.1,44294,53
1554731413.351291,17,41,192.168.1.149,192.168.1.1,40850,53
1554731413.352998,17,305,192.168.1.1,192.168.1.149,53,44294
1554731413.353283,17,317,192.168.1.1,192.168.1.149,53,40850
1554731413.368875,6,467,192.168.1.149,53.200.186.147,40692,443
1554731413.758728,6,215,53.200.186.147,192.168.1.149,443,40692
1554731413.758772,6,93,53.200.186.147,192.168.1.149,443,40692
1554731429.577647,6,46,192.168.1.149,89.139.104.173,49276,443
1554731429.601317,6,46,89.139.104.173,192.168.1.149,443,49276
1554731438.601751,6,46,192.168.1.149,183.187.102.28,58130,443
1554731438.602053,6,31,192.168.1.149,183.187.102.28,58130,443
1554731441.405371,6,59,53.200.186.147,192.168.1.149,443,40692
1554731465.778383,6,59,53.200.186.147,192.168.1.149,443,40692
1554731465.778618,6,38,53.200.186.147,192.168.1.149,443,40692
1554731465.779478,6,46,53.200.186.147,192.168.1.149,443,40692
1554731465.779682,6,46,192.168.1.149,53.200.186.147,40692,443
1554731465.804634,6,470,192.168.1.149,53.200.186.147,40692,443
1554731466.084691,6,215,53.200.186.147,192.168.1.149,443,40692
1554731466.084884,6,59,53.200.186.147,192.168.1.149,443,40692
1554731488.578643,6,46,192.168.1.149,89.139.104.173,49276,443
1554731488.60074,6,46,89.139.104.173,192.168.1.149,443,49276
1554731493.527329,6,59,53.200.186.147,192.168.1.149,443,40692
1554731523.122188,6,59,53.200.186.147,192.168.1.149,443,40692
1554731523.122878,6,38,53.200.186.147,192.168.1.149,443,40692
1554731523.123359,6,46,53.200.186.147,192.168.1.149,443,40692
1554731523.123577,6,46,192.168.1.149,53.200.186.147,40692,443
1554731523.154045,6,470,192.168.1.149,53.200.186.147,40692,443
1554731523.536552,6,215,53.200.186.147,192.168.1.149,443,40692
1554731523.536593,6,59,53.200.186.147,192.168.1.149,443,40692
