time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554721728.441748,17,41,192.168.1.149,192.168.1.1,47426,53
1554721728.441819,17,41,192.168.1.149,192.168.1.1,44511,53
1554721728.50374,17,185,192.168.1.1,192.168.1.149,53,47426
1554721728.503772,17,209,192.168.1.1,192.168.1.149,53,44511
1554721728.665758,6,218,192.168.1.149,167.34.252.3,54678,443
1554721728.745215,6,2896,167.34.252.3,192.168.1.149,443,54678
1554721728.745386,6,125,167.34.252.3,192.168.1.149,443,54678
1554721728.747435,6,126,192.168.1.149,167.34.252.3,54678,443
1554721728.819809,6,51,167.34.252.3,192.168.1.149,443,54678
1554721728.820181,6,237,192.168.1.149,167.34.252.3,54678,443
1554721728.893629,6,746,167.34.252.3,192.168.1.149,443,54678
1554721728.894267,6,31,192.168.1.149,167.34.252.3,54678,443
1554721728.966281,6,31,167.34.252.3,192.168.1.149,443,54678
