time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554471532.619647,6,63,36.230.134.218,192.168.1.149,443,33426
1554471570.151365,6,137,192.168.1.149,198.77.189.210,51096,443
1554471570.152487,6,555,192.168.1.149,198.77.189.210,51096,443
1554471570.176552,6,46,198.77.189.210,192.168.1.149,443,51096
1554471570.201641,6,84,198.77.189.210,192.168.1.149,443,51096
1554471570.201685,6,152,198.77.189.210,192.168.1.149,443,51096
1554471570.202086,6,264,198.77.189.210,192.168.1.149,443,51096
1554471570.202105,6,46,198.77.189.210,192.168.1.149,443,51096
1554471570.203978,6,46,192.168.1.149,198.77.189.210,51096,443
1554471572.659517,6,21,192.168.1.149,47.183.134.92,54412,43
1554471572.863211,6,338,47.183.134.92,192.168.1.149,43,54412
1554471572.864493,6,1780,47.183.134.92,192.168.1.149,43,54412
1554471587.237392,17,180,192.168.1.149,239.255.255.250,38340,1900
1554471588.238995,17,180,192.168.1.149,239.255.255.250,38340,1900
1554471589.240005,17,180,192.168.1.149,239.255.255.250,38340,1900
1554471590.240988,17,180,192.168.1.149,239.255.255.250,38340,1900
1554471600.150488,6,133,192.168.1.149,198.77.189.210,51096,443
1554471600.151479,6,551,192.168.1.149,198.77.189.210,51096,443
1554471600.174162,6,46,198.77.189.210,192.168.1.149,443,51096
1554471600.199054,6,84,198.77.189.210,192.168.1.149,443,51096
1554471600.199095,6,297,198.77.189.210,192.168.1.149,443,51096
1554471600.199248,6,157,198.77.189.210,192.168.1.149,443,51096
1554471600.199304,6,46,198.77.189.210,192.168.1.149,443,51096
1554471600.201433,6,46,192.168.1.149,198.77.189.210,51096,443
1554471630.150752,6,133,192.168.1.149,198.77.189.210,51096,443
1554471630.151758,6,551,192.168.1.149,198.77.189.210,51096,443
1554471630.174899,6,46,198.77.189.210,192.168.1.149,443,51096
1554471630.199922,6,84,198.77.189.210,192.168.1.149,443,51096
1554471630.199958,6,137,198.77.189.210,192.168.1.149,443,51096
1554471630.200223,6,162,198.77.189.210,192.168.1.149,443,51096
1554471630.200553,6,46,198.77.189.210,192.168.1.149,443,51096
1554471630.202228,6,46,192.168.1.149,198.77.189.210,51096,443
