time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554716882.065362,6,31,129.141.205.159,192.168.1.149,443,57700
1554716882.065586,6,35,192.168.1.149,129.141.205.159,57700,443
1554716898.403004,6,195,192.168.1.149,149.198.52.175,53808,443
1554716898.404157,6,506,192.168.1.149,149.198.52.175,53808,443
1554716898.450594,6,79,149.198.52.175,192.168.1.149,443,53808
1554716898.450633,6,337,149.198.52.175,192.168.1.149,443,53808
1554716898.451998,6,264,149.198.52.175,192.168.1.149,443,53808
1554716898.452013,6,46,149.198.52.175,192.168.1.149,443,53808
1554716898.452186,6,46,192.168.1.149,149.198.52.175,53808,443
1554716928.390852,17,49,192.168.1.149,192.168.1.1,42409,53
1554716928.393045,17,409,192.168.1.1,192.168.1.149,53,42409
1554716928.398941,6,190,192.168.1.149,149.198.52.175,53808,443
1554716928.399522,6,503,192.168.1.149,149.198.52.175,53808,443
1554716928.446873,6,79,149.198.52.175,192.168.1.149,443,53808
1554716928.44692,6,415,149.198.52.175,192.168.1.149,443,53808
1554716928.447119,6,46,149.198.52.175,192.168.1.149,443,53808
1554716928.448059,6,46,192.168.1.149,149.198.52.175,53808,443
1554716958.398183,6,195,192.168.1.149,149.198.52.175,53808,443
1554716958.399183,6,504,192.168.1.149,149.198.52.175,53808,443
1554716958.445101,6,79,149.198.52.175,192.168.1.149,443,53808
1554716958.445282,6,397,149.198.52.175,192.168.1.149,443,53808
1554716958.445386,6,46,149.198.52.175,192.168.1.149,443,53808
1554716958.445439,6,46,192.168.1.149,149.198.52.175,53808,443
1554717017.432792,6,46,192.168.1.149,149.198.52.175,53808,443
1554717017.455421,6,46,149.198.52.175,192.168.1.149,443,53808
