time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554123773.05105,6,344,192.168.1.149,71.73.137.129,39282,443
1554123773.051716,6,283,192.168.1.149,71.73.137.129,39282,443
1554123773.364182,6,204,71.73.137.129,192.168.1.149,443,39282
1554123773.364374,6,38,71.73.137.129,192.168.1.149,443,39282
1554123773.365932,6,46,71.73.137.129,192.168.1.149,443,39282
1554123773.365979,6,216,71.73.137.129,192.168.1.149,443,39282
1554123773.366003,6,223,71.73.137.129,192.168.1.149,443,39282
1554123773.366023,6,125,71.73.137.129,192.168.1.149,443,39282
1554123773.366039,6,40,71.73.137.129,192.168.1.149,443,39282
1554123773.366156,6,46,192.168.1.149,71.73.137.129,39282,443
1554123773.388466,6,472,192.168.1.149,71.73.137.129,39282,443
1554123773.568987,6,211,71.73.137.129,192.168.1.149,443,39282
1554123773.569207,6,380,71.73.137.129,192.168.1.149,443,39282
1554123773.932478,6,342,192.168.1.149,71.73.137.129,39282,443
1554123773.933497,6,276,192.168.1.149,71.73.137.129,39282,443
1554123774.287444,6,204,71.73.137.129,192.168.1.149,443,39282
1554123774.287497,6,216,71.73.137.129,192.168.1.149,443,39282
1554123774.287655,6,212,71.73.137.129,192.168.1.149,443,39282
1554123774.287749,6,88,71.73.137.129,192.168.1.149,443,39282
1554123774.287764,6,268,71.73.137.129,192.168.1.149,443,39282
1554123774.287777,6,46,71.73.137.129,192.168.1.149,443,39282
1554123774.288188,6,46,192.168.1.149,71.73.137.129,39282,443
1554123774.531006,6,343,192.168.1.149,71.73.137.129,39282,443
1554123774.532254,6,215,192.168.1.149,71.73.137.129,39282,443
1554123774.557929,6,380,71.73.137.129,192.168.1.149,443,39282
1554123774.797689,6,204,71.73.137.129,192.168.1.149,443,39282
1554123774.797917,6,216,71.73.137.129,192.168.1.149,443,39282
1554123774.798708,6,203,71.73.137.129,192.168.1.149,443,39282
1554123774.798741,6,288,71.73.137.129,192.168.1.149,443,39282
1554123774.79875,6,225,71.73.137.129,192.168.1.149,443,39282
1554123774.798756,6,46,71.73.137.129,192.168.1.149,443,39282
1554123774.798914,6,46,192.168.1.149,71.73.137.129,39282,443
1554123775.004227,6,380,71.73.137.129,192.168.1.149,443,39282
1554123777.008547,6,236,192.168.1.149,195.194.125.174,46962,443
1554123777.008628,6,1368,192.168.1.149,195.194.125.174,46962,443
1554123777.009398,6,1368,192.168.1.149,195.194.125.174,46962,443
1554123777.010245,6,1368,192.168.1.149,195.194.125.174,46962,443
1554123777.011125,6,329,192.168.1.149,195.194.125.174,46962,443
1554123777.011783,6,322,192.168.1.149,71.73.137.129,39282,443
1554123777.011842,6,1368,192.168.1.149,71.73.137.129,39282,443
1554123777.012615,6,1368,192.168.1.149,71.73.137.129,39282,443
1554123777.0134,6,1368,192.168.1.149,71.73.137.129,39282,443
1554123777.014086,6,1368,192.168.1.149,71.73.137.129,39282,443
1554123777.014786,6,141,192.168.1.149,71.73.137.129,39282,443
1554123777.072071,6,249,195.194.125.174,192.168.1.149,443,46962
1554123777.072122,6,408,195.194.125.174,192.168.1.149,443,46962
1554123777.072394,6,143,195.194.125.174,192.168.1.149,443,46962
1554123777.072496,6,46,195.194.125.174,192.168.1.149,443,46962
1554123777.07261,6,46,192.168.1.149,195.194.125.174,46962,443
1554123777.218106,6,208,71.73.137.129,192.168.1.149,443,39282
1554123777.227288,6,38,71.73.137.129,192.168.1.149,443,39282
1554123777.227331,6,46,71.73.137.129,192.168.1.149,443,39282
1554123777.227493,6,46,192.168.1.149,71.73.137.129,39282,443
1554123777.245734,6,1085,192.168.1.149,71.73.137.129,39282,443
1554123777.245836,6,1368,192.168.1.149,71.73.137.129,39282,443
1554123777.246204,6,98,192.168.1.149,71.73.137.129,39282,443
1554123777.460547,6,204,71.73.137.129,192.168.1.149,443,39282
1554123777.461039,6,216,71.73.137.129,192.168.1.149,443,39282
1554123777.461064,6,111,71.73.137.129,192.168.1.149,443,39282
1554123777.462086,6,210,71.73.137.129,192.168.1.149,443,39282
1554123777.462109,6,186,71.73.137.129,192.168.1.149,443,39282
1554123777.462373,6,46,71.73.137.129,192.168.1.149,443,39282
1554123777.462466,6,46,192.168.1.149,71.73.137.129,39282,443
1554123777.767345,6,380,71.73.137.129,192.168.1.149,443,39282
1554123777.990137,6,339,192.168.1.149,71.73.137.129,39282,443
1554123777.990801,6,210,192.168.1.149,71.73.137.129,39282,443
1554123778.279358,6,204,71.73.137.129,192.168.1.149,443,39282
1554123778.27959,6,215,71.73.137.129,192.168.1.149,443,39282
1554123778.279716,6,200,71.73.137.129,192.168.1.149,443,39282
1554123778.279753,6,272,71.73.137.129,192.168.1.149,443,39282
1554123778.279782,6,161,71.73.137.129,192.168.1.149,443,39282
