time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1570091555.696184,17,39,192.168.1.143,192.168.1.1,59218,53
1570091555.745534,17,55,192.168.1.1,192.168.1.143,53,59218
1570091555.748103,6,41,192.168.1.143,130.206.160.55,33032,10018
1570091555.765418,6,41,130.206.160.55,192.168.1.143,10018,33032
1570091555.765877,6,1360,192.168.1.143,130.206.160.55,33032,10018
1570091555.766724,6,1080,130.206.160.55,192.168.1.143,10018,33032
1570091555.809389,6,48,192.168.1.143,130.206.160.55,33032,10018
1570091555.820321,6,452,130.206.160.55,192.168.1.143,10018,33032
1570091555.835844,6,16,192.168.1.143,130.206.160.55,33032,10018
1570091555.87911,6,44,192.168.1.143,130.206.160.55,33032,10018
1570091555.880429,6,44,130.206.160.55,192.168.1.143,10018,33032
1570091555.880537,6,68,192.168.1.143,130.206.160.55,33032,10018
1570091555.882384,6,44,130.206.160.55,192.168.1.143,10018,33032
1570091558.32825,6,652,192.168.1.143,130.206.160.55,33032,10018
1570091558.335463,6,28,130.206.160.55,192.168.1.143,10018,33032
1570091558.335665,6,112,192.168.1.143,130.206.160.55,33032,10018
1570091559.184387,6,648,130.206.160.55,192.168.1.143,10018,33032
1570091559.230444,6,44,130.206.160.55,192.168.1.143,10018,33032
1570091559.231089,6,460,192.168.1.143,130.206.160.55,33032,10018
1570091559.24202,6,108,130.206.160.55,192.168.1.143,10018,33032
1570091559.242065,6,588,130.206.160.55,192.168.1.143,10018,33032
1570091559.386983,6,132,130.206.160.55,192.168.1.143,10018,33032
1570091559.963004,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091559.964636,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091560.128809,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091560.130665,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091560.255942,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091560.257837,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091560.278821,6,372,130.206.160.55,192.168.1.143,10018,33032
1570091560.278869,6,132,130.206.160.55,192.168.1.143,10018,33032
1570091562.567501,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091562.570198,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091562.620349,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091562.621834,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091562.690191,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091562.692117,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091563.023134,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091563.025772,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091563.112415,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091563.114964,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091563.175189,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091563.185475,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091563.361576,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091563.363327,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091563.908823,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091563.910769,6,44,130.206.160.55,192.168.1.143,10018,33032
1570091564.481874,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091564.492358,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091564.66993,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091564.679325,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091564.679439,6,172,130.206.160.55,192.168.1.143,10018,33032
1570091564.67949,6,140,130.206.160.55,192.168.1.143,10018,33032
1570091565.769132,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091565.770845,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091565.772275,6,140,130.206.160.55,192.168.1.143,10018,33032
1570091565.916028,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091565.91848,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091566.069727,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091566.072217,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091566.130936,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091566.132835,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091566.135846,6,156,130.206.160.55,192.168.1.143,10018,33032
1570091566.137113,6,140,130.206.160.55,192.168.1.143,10018,33032
1570091566.923727,6,36,192.168.1.143,130.206.160.55,33032,10018
1570091566.9253,6,36,130.206.160.55,192.168.1.143,10018,33032
1570091567.018349,6,36,192.168.1.143,130.206.160.55,33032,10018
