time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551428400.632238,6,253,192.168.1.149,216.58.211.46,43944,443
1551428400.633069,6,46,192.168.1.149,216.58.211.46,43944,443
1551428400.649941,6,46,216.58.211.46,192.168.1.149,443,43944
1551428400.707679,6,149,216.58.211.46,192.168.1.149,443,43944
1551428400.707903,6,107,216.58.211.46,192.168.1.149,443,43944
1551428400.70803,6,128,216.58.211.46,192.168.1.149,443,43944
1551428400.717663,17,62,192.168.1.149,192.168.1.1,45656,53
1551428400.720109,17,366,192.168.1.1,192.168.1.149,53,45656
1551428400.73861,6,224,192.168.1.149,130.206.193.110,60638,443
1551428400.738739,6,224,192.168.1.149,130.206.193.110,60636,443
1551428400.762113,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428400.763631,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428400.763659,6,241,130.206.193.110,192.168.1.149,443,60638
1551428400.763668,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428400.763939,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428400.764045,6,241,130.206.193.110,192.168.1.149,443,60636
1551428400.764229,6,258,192.168.1.149,130.206.193.110,60638,443
1551428400.764658,6,258,192.168.1.149,130.206.193.110,60636,443
1551428400.783756,6,278,130.206.193.110,192.168.1.149,443,60636
1551428400.783842,6,278,130.206.193.110,192.168.1.149,443,60638
1551428400.786856,6,452,192.168.1.149,130.206.193.110,60636,443
1551428400.786941,6,458,192.168.1.149,130.206.193.110,60638,443
1551428400.806103,6,216,130.206.193.110,192.168.1.149,443,60636
1551428400.806117,6,216,130.206.193.110,192.168.1.149,443,60638
1551428401.014759,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.014882,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.0155,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.015606,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.015627,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.031027,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.031159,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.031986,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.032134,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.033254,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.033405,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.034155,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.034298,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.035004,6,289,216.58.211.46,192.168.1.149,443,43944
1551428401.122144,6,784,192.168.1.149,216.58.211.46,43944,443
1551428401.139502,6,90,192.168.1.149,216.58.211.46,43944,443
1551428401.139537,6,1368,192.168.1.149,216.58.211.46,43944,443
1551428401.139726,6,1368,192.168.1.149,216.58.211.46,43944,443
1551428401.140208,6,33,192.168.1.149,216.58.211.46,43944,443
1551428401.161125,17,53,192.168.1.149,192.168.1.1,34306,53
1551428401.162093,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.162465,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.162477,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.162772,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.162876,17,327,192.168.1.1,192.168.1.149,53,34306
1551428401.163408,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.163504,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.165055,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.165199,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.165885,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.165894,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.166225,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.166234,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.167142,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.16729,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.168108,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.168267,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.169509,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.16952,6,1418,216.58.211.46,192.168.1.149,443,43944
1551428401.172346,6,989,216.58.211.46,192.168.1.149,443,43944
1551428401.174208,6,1273,192.168.1.149,130.206.193.110,60638,443
1551428401.174292,6,46,192.168.1.149,216.58.211.46,43944,443
1551428401.17508,6,1137,192.168.1.149,130.206.193.110,60636,443
1551428401.179478,6,38,216.58.211.46,192.168.1.149,443,43944
1551428401.183454,6,218,192.168.1.149,216.58.201.130,54766,443
1551428401.183879,17,58,192.168.1.149,192.168.1.1,39340,53
1551428401.193254,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.193297,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.193308,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.193315,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.193317,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.193321,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.193324,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.193333,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.193807,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.193829,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.193839,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.193847,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.193854,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.193944,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.193955,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.194603,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.194629,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.194649,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.196525,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.196721,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.196948,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.197007,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.198678,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.198712,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.198731,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.198738,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.199802,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.200331,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.200351,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.200368,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.200378,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.20038,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.200384,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.200389,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.200395,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.200397,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.200399,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.2004,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.200408,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.200415,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.20155,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.201586,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.201596,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.201604,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.201613,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.201643,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.201652,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.201658,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.201664,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.201669,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.202235,6,124,192.168.1.149,216.58.211.46,43944,443
1551428401.202388,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.202411,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.202423,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.203079,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.203101,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.203471,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.203488,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.203906,6,318,192.168.1.149,216.58.211.46,43944,443
1551428401.21136,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.211625,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.211773,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.212531,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.212567,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.212581,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.212926,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.21295,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.213335,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.213356,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.213366,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.213894,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.213915,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.21403,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.214183,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.214797,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.214818,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.215696,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.215721,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.215731,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.216157,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.218394,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.219738,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.219762,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.219777,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.219787,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.219795,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.219805,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.219814,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.219821,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.219828,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.221746,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.222104,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.222123,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.22251,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.222527,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.222536,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.223287,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.223305,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.223314,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.223622,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.223634,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.223934,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.223948,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.223957,6,1448,130.206.193.110,192.168.1.149,443,60636
1551428401.223965,6,138,130.206.193.110,192.168.1.149,443,60636
1551428401.223972,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.224661,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.224686,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.224699,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.224706,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.224713,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.224726,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.225308,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.225368,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.225413,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.225664,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.225712,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.226366,6,1418,216.58.201.130,192.168.1.149,443,54766
1551428401.226387,6,1358,216.58.201.130,192.168.1.149,443,54766
1551428401.229546,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.229658,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.230207,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.23024,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.231256,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.231308,6,1448,130.206.193.110,192.168.1.149,443,60638
1551428401.231318,6,1448,130.206.193.110,192.168.1.149,443,60638
