time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554136306.448612,6,1098,192.168.1.80,72.150.88.126,40322,443
1554136306.465097,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465137,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465148,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465152,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465158,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465161,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465165,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465168,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465171,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465174,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465178,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465181,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465184,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465187,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465191,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465194,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465198,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465201,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465207,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.46521,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465215,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465218,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465221,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465225,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465229,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465232,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465235,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465239,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465242,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465246,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.46525,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.465253,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.467153,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.467169,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.467196,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.467203,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.467225,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.467232,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.467246,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.467252,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.467268,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.467273,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.468181,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.468189,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.468206,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.46821,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.468223,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.468227,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.468236,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.468241,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.468251,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.468255,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.46827,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.468275,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.468285,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.46829,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.4683,6,675,72.150.88.126,192.168.1.80,443,40322
1554136306.468304,6,1396,72.150.88.126,192.168.1.80,443,40322
1554136306.468307,6,1396,72.150.88.126,192.168.1.80,443,40322
