time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551425917.977021,17,180,192.168.1.149,239.255.255.250,48474,1900
1551425918.116704,17,55,192.168.1.149,192.168.1.1,49235,53
1551425918.120294,17,326,192.168.1.1,192.168.1.149,53,49235
1551425918.139534,6,213,192.168.1.149,172.217.16.227,48312,443
1551425918.180468,6,1418,172.217.16.227,192.168.1.149,443,48312
1551425918.18052,6,1418,172.217.16.227,192.168.1.149,443,48312
1551425918.182324,6,996,172.217.16.227,192.168.1.149,443,48312
1551425918.185079,6,93,192.168.1.149,172.217.16.227,48312,443
1551425918.196183,6,93,192.168.1.149,172.217.16.227,48312,443
1551425918.196549,6,263,192.168.1.149,172.217.16.227,48312,443
1551425918.203116,6,284,172.217.16.227,192.168.1.149,443,48312
1551425918.20393,6,69,172.217.16.227,192.168.1.149,443,48312
1551425918.212204,6,38,172.217.16.227,192.168.1.149,443,48312
1551425918.214332,17,40,192.168.1.149,192.168.1.1,35300,53
1551425918.214519,6,38,192.168.1.149,172.217.16.227,48312,443
1551425918.215958,17,304,192.168.1.1,192.168.1.149,53,35300
1551425918.233843,6,202,192.168.1.149,216.58.211.36,53542,443
1551425918.241247,6,181,172.217.16.227,192.168.1.149,443,48312
1551425918.241623,6,38,172.217.16.227,192.168.1.149,443,48312
1551425918.241738,6,46,172.217.16.227,192.168.1.149,443,48312
1551425918.243208,6,46,192.168.1.149,172.217.16.227,48312,443
1551425918.276281,6,1418,216.58.211.36,192.168.1.149,443,53542
1551425918.276802,6,1148,216.58.211.36,192.168.1.149,443,53542
1551425918.655548,17,45,192.168.1.149,192.168.1.1,51017,53
1551425918.658268,17,309,192.168.1.1,192.168.1.149,53,51017
1551425918.658306,6,258,192.168.1.149,216.58.211.36,53542,443
1551425918.660152,6,93,192.168.1.149,216.58.211.36,53542,443
1551425918.660407,6,653,192.168.1.149,216.58.211.36,53542,443
1551425918.665122,6,168,192.168.1.149,216.58.211.36,53542,443
1551425918.675054,6,321,216.58.211.36,192.168.1.149,443,53542
1551425918.675982,6,69,216.58.211.36,192.168.1.149,443,53542
1551425918.676092,6,38,216.58.211.36,192.168.1.149,443,53542
1551425918.676219,6,38,192.168.1.149,216.58.211.36,53542,443
1551425918.703453,6,207,192.168.1.149,108.177.119.84,51742,443
1551425918.710236,6,265,216.58.211.36,192.168.1.149,443,53542
1551425918.710298,6,132,216.58.211.36,192.168.1.149,443,53542
1551425918.710932,6,39,216.58.211.36,192.168.1.149,443,53542
1551425918.711017,6,38,216.58.211.36,192.168.1.149,443,53542
1551425918.711275,6,46,216.58.211.36,192.168.1.149,443,53542
1551425918.711797,6,46,192.168.1.149,216.58.211.36,53542,443
1551425918.718038,6,198,216.58.211.36,192.168.1.149,443,53542
1551425918.718355,6,1418,216.58.211.36,192.168.1.149,443,53542
1551425918.719118,6,1418,216.58.211.36,192.168.1.149,443,53542
1551425918.719648,6,1418,216.58.211.36,192.168.1.149,443,53542
1551425918.719773,6,1418,216.58.211.36,192.168.1.149,443,53542
1551425918.720046,6,1418,216.58.211.36,192.168.1.149,443,53542
1551425918.720554,6,1418,216.58.211.36,192.168.1.149,443,53542
1551425918.720955,6,1418,216.58.211.36,192.168.1.149,443,53542
1551425918.721418,6,1418,216.58.211.36,192.168.1.149,443,53542
1551425918.721696,6,1418,216.58.211.36,192.168.1.149,443,53542
