time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554878924.558104,17,75,192.168.1.149,192.168.1.1,33255,53
1554878924.558226,17,75,192.168.1.149,192.168.1.1,50228,53
1554878924.592832,17,511,192.168.1.1,192.168.1.149,53,33255
1554878924.59341,17,143,192.168.1.1,192.168.1.149,53,50228
1554878924.750751,17,40,192.168.1.149,192.168.1.1,47003,53
1554878924.754265,17,316,192.168.1.1,192.168.1.149,53,47003
1554878924.764646,6,587,192.168.1.149,145.142.25.160,40972,443
1554878924.780414,6,156,145.142.25.160,192.168.1.149,443,40972
1554878924.780655,6,51,192.168.1.149,145.142.25.160,40972,443
1554878924.781656,6,177,192.168.1.149,145.142.25.160,40972,443
1554878924.78223,6,227,192.168.1.149,145.142.25.160,40972,443
1554878924.793241,6,69,145.142.25.160,192.168.1.149,443,40972
1554878924.793384,6,38,192.168.1.149,145.142.25.160,40972,443
1554878924.793499,6,38,145.142.25.160,192.168.1.149,443,40972
1554878924.833053,6,424,145.142.25.160,192.168.1.149,443,40972
1554878924.833098,6,180,145.142.25.160,192.168.1.149,443,40972
1554878924.833305,6,39,145.142.25.160,192.168.1.149,443,40972
1554878924.833415,6,38,145.142.25.160,192.168.1.149,443,40972
1554878924.833424,6,46,145.142.25.160,192.168.1.149,443,40972
1554878924.833548,6,46,192.168.1.149,145.142.25.160,40972,443
1554878924.998021,6,95,192.168.1.149,145.142.25.160,40972,443
1554878925.00408,6,42,192.168.1.149,145.142.25.160,40972,443
1554878925.076498,6,95,192.168.1.149,145.142.25.160,40972,443
1554878925.128047,6,153,145.142.25.160,192.168.1.149,443,40972
1554878925.128064,6,139,145.142.25.160,192.168.1.149,443,40972
1554878925.128321,6,39,145.142.25.160,192.168.1.149,443,40972
1554878925.128433,6,38,145.142.25.160,192.168.1.149,443,40972
1554878925.12844,6,46,145.142.25.160,192.168.1.149,443,40972
1554878925.128536,6,46,192.168.1.149,145.142.25.160,40972,443
1554878925.627082,6,95,192.168.1.149,145.142.25.160,40972,443
1554878925.678104,6,153,145.142.25.160,192.168.1.149,443,40972
1554878925.678126,6,122,145.142.25.160,192.168.1.149,443,40972
1554878925.679225,6,39,145.142.25.160,192.168.1.149,443,40972
1554878925.679331,6,38,145.142.25.160,192.168.1.149,443,40972
1554878925.679589,6,46,145.142.25.160,192.168.1.149,443,40972
1554878925.679686,6,46,192.168.1.149,145.142.25.160,40972,443
1554878925.895872,6,95,192.168.1.149,145.142.25.160,40972,443
1554878925.950498,6,153,145.142.25.160,192.168.1.149,443,40972
1554878925.950769,6,130,145.142.25.160,192.168.1.149,443,40972
1554878925.950884,6,39,145.142.25.160,192.168.1.149,443,40972
1554878925.950891,6,38,145.142.25.160,192.168.1.149,443,40972
1554878925.950895,6,46,145.142.25.160,192.168.1.149,443,40972
1554878925.951009,6,46,192.168.1.149,145.142.25.160,40972,443
1554878926.2733,6,95,192.168.1.149,145.142.25.160,40972,443
1554878926.315745,6,42,192.168.1.149,145.142.25.160,40972,443
1554878926.324285,6,153,145.142.25.160,192.168.1.149,443,40972
1554878926.324314,6,122,145.142.25.160,192.168.1.149,443,40972
1554878926.324543,6,39,145.142.25.160,192.168.1.149,443,40972
1554878926.324629,6,38,145.142.25.160,192.168.1.149,443,40972
1554878926.324636,6,46,145.142.25.160,192.168.1.149,443,40972
1554878926.324722,6,46,192.168.1.149,145.142.25.160,40972,443
1554878926.386656,6,95,192.168.1.149,145.142.25.160,40972,443
1554878926.417589,6,42,192.168.1.149,145.142.25.160,40972,443
1554878926.490682,6,96,192.168.1.149,145.142.25.160,40972,443
1554878926.517025,6,42,192.168.1.149,145.142.25.160,40972,443
1554878926.587116,6,97,192.168.1.149,145.142.25.160,40972,443
1554878926.633203,6,42,192.168.1.149,145.142.25.160,40972,443
1554878926.641507,6,153,145.142.25.160,192.168.1.149,443,40972
1554878926.641589,6,171,145.142.25.160,192.168.1.149,443,40972
1554878926.643296,6,39,145.142.25.160,192.168.1.149,443,40972
